Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,Neural Networks,0.67,0.36,0.98,0.47,0.93,0.9,0.68,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(23,46,46,23),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.77,0.6,0.94,0.6,0.91,0.9,0.64
Single_Model,All_Features,Neural Networks,0.67,0.36,0.98,0.47,0.93,0.9,0.68,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(23,46,46,23),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.77,0.6,0.94,0.6,0.91,0.9,0.64
Single_Model,All_Features,Neural Networks,0.81,0.68,0.93,0.62,0.92,0.9,0.57,MLPClassifier,"{'activation':'tanh','alpha':0.1,'hidden_layer_sizes':(23,46,23),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.76,0.57,0.94,0.58,0.89,0.89,0.62
Single_Model,All_Features,Neural Networks,0.84,0.72,0.95,0.69,0.93,0.92,0.65,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(23,),'learning_rate':'constant','learning_rate_init':0.7,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.01,0.75,0.56,0.95,0.57,0.91,0.9,0.64
Single_Model,All_Features,Neural Networks,0.82,0.68,0.95,0.67,0.92,0.92,0.67,MLPClassifier,"{'activation':'relu','alpha':0.05,'hidden_layer_sizes':(23,),'learning_rate':'adaptive','learning_rate_init':0.3,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.56,0.94,0.57,0.91,0.89,0.63
Single_Model,All_Features,Neural Networks,0.82,0.68,0.95,0.67,0.92,0.92,0.67,MLPClassifier,"{'activation':'relu','alpha':0.05,'hidden_layer_sizes':(23,),'learning_rate':'constant','learning_rate_init':0.3,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.02,0.75,0.56,0.94,0.57,0.91,0.89,0.63
Single_Model,All_Features,Neural Networks,0.72,0.47,0.97,0.55,0.9,0.91,0.67,MLPClassifier,"{'activation':'tanh','alpha':0.0001,'hidden_layer_sizes':(30,30),'learning_rate':'adaptive','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.55,0.95,0.58,0.9,0.9,0.62
Single_Model,All_Features,Neural Networks,0.72,0.47,0.97,0.55,0.9,0.91,0.67,MLPClassifier,"{'activation':'tanh','alpha':0.0001,'hidden_layer_sizes':(30,30),'learning_rate':'constant','learning_rate_init':0.1,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.55,0.95,0.58,0.9,0.9,0.62
Single_Model,All_Features,Neural Networks,0.7,0.43,0.98,0.53,0.93,0.91,0.71,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(30,30),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.55,0.95,0.58,0.91,0.9,0.63
Single_Model,All_Features,Neural Networks,0.7,0.43,0.98,0.53,0.93,0.91,0.71,MLPClassifier,"{'activation':'tanh','alpha':0.5,'hidden_layer_sizes':(30,30),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.55,0.95,0.58,0.91,0.9,0.63
Single_Model,All_Features,Neural Networks,0.83,0.7,0.95,0.68,0.92,0.92,0.66,MLPClassifier,"{'activation':'relu','alpha':1e-05,'hidden_layer_sizes':30,'learning_rate':'adaptive','learning_rate_init':0.3,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.02,0.75,0.54,0.96,0.59,0.91,0.9,0.67
Single_Model,All_Features,Neural Networks,0.83,0.7,0.95,0.68,0.92,0.92,0.66,MLPClassifier,"{'activation':'relu','alpha':1e-05,'hidden_layer_sizes':30,'learning_rate':'constant','learning_rate_init':0.3,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.02,0.75,0.54,0.96,0.59,0.91,0.9,0.67
Single_Model,All_Features,Neural Networks,0.82,0.7,0.94,0.65,0.93,0.91,0.61,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(23,),'learning_rate':'constant','learning_rate_init':0.7,'max_iter':2000,'random_state':42,'solver':'sgd'}",,,,0.02,0.75,0.56,0.93,0.54,0.91,0.88,0.64
Single_Model,All_Features,Neural Networks,0.77,0.57,0.96,0.61,0.93,0.91,0.64,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(23,23,23),'learning_rate':'adaptive','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.54,0.95,0.57,0.91,0.9,0.64
Single_Model,All_Features,Neural Networks,0.77,0.57,0.96,0.61,0.93,0.91,0.64,MLPClassifier,"{'activation':'relu','alpha':0.5,'hidden_layer_sizes':(23,23,23),'learning_rate':'constant','learning_rate_init':0.03,'max_iter':2000,'random_state':42,'solver':'adam'}",,,,0.01,0.75,0.54,0.95,0.57,0.91,0.9,0.64
