Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.15,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.15,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.15,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.15,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
Ensemble_Imbalance,All_Features,Balanced Bagging,0.72,0.98,0.46,0.33,0.81,0.52,0.2,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'uniform'}",0.16,0.7,0.93,0.47,0.34,0.78,0.53,0.21
