Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=1,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':1,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.23,0.82,0.79,0.85,0.56,0.9,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.25,0.82,0.8,0.84,0.55,0.9,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.25,0.82,0.8,0.84,0.55,0.9,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.25,0.82,0.8,0.84,0.55,0.9,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.92,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.25,0.82,0.8,0.84,0.55,0.9,0.83,0.42
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=1,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':19,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':1,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.27,0.82,0.79,0.85,0.56,0.9,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=1,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",SVM,SVC,"{'C':1,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.32,0.82,0.8,0.84,0.56,0.9,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.32,0.82,0.8,0.84,0.55,0.9,0.83,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.32,0.82,0.8,0.84,0.55,0.9,0.83,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=0.7,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':25,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",SVM,SVC,"{'C':0.7,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.32,0.82,0.8,0.84,0.55,0.9,0.83,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.87,0.94,0.8,0.54,0.93,0.81,0.38,BalancedBaggingClassifier,"{'estimator':SVC(C=1,class_weight='balanced',gamma='auto',probability=True,random_state=42),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",SVM,SVC,"{'C':1,'break_ties':False,'cache_size':200,'class_weight':'balanced','coef0':0.0,'decision_function_shape':'ovr','degree':3,'gamma':'auto','kernel':'rbf','max_iter':-1,'probability':True,'random_state':42,'shrinking':True,'tol':0.001,'verbose':False}",0.34,0.82,0.8,0.84,0.56,0.9,0.84,0.43
